Designator,Footprint,Quantity,Value,LCSC Part #
BT1,CR2032_BAT-HLD-001,1,CR2032_BAT-HLD-001,
"C1, C3, C5, C6, C7",0402,5,100nF 50V,
"C2, C4",0603,2,10uF 10V,
"D1, D2, D3, D4",0603,4,LED_P1,
"D10, D9",0805,2,LED,
"D5, D6, D7, D8",0603,4,LED_P2,
LPC802,mcu LPC802,1,mcu LPC802M001JDH16J,
"PLAYER_1, PLAYER_2",Button_EVP-BT2G4A000,2,Button_EVP-BT2G4A000,
"Q1, Q2, Q3, Q4",SOT-23,4,BC817,
"R1, R2, R3",0402,3,10k,
"R10, R11, R12, R13, R6, R7, R8, R9",0603,8,10k,
"R14, R15, R16, R17",0603,4,750,
"R4, R5",0402,2,47k,
S1,Switch_CUS-12TB,1,Switch_CUS-12TB,
